threshold,seed,split,model,acc,macro_f1,n_clusters
0.4,8,cluster,Linear SVM,0.444953560371517,0.3183321162722032,12735
0.4,8,cluster,ESM-2 650M frozen + linear probe,0.7430340557275542,0.6598369322698993,12735
0.4,9,cluster,1-NN (memorisation probe),0.4112594158847628,0.3471125221950697,12735
0.4,9,cluster,Logistic Regression,0.36725254394079554,0.24112711858163008,12735
0.4,9,cluster,Linear SVM,0.3683097660895996,0.27780130732771624,12735
0.4,9,cluster,ESM-2 650M frozen + linear probe,0.6990881458966566,0.6298129654822218,12735
0.3,0,cluster,1-NN (memorisation probe),0.31085637221847606,0.23395284385210818,9533
0.3,0,cluster,Logistic Regression,0.35218187072536367,0.2084478155682404,9533
0.3,0,cluster,Linear SVM,0.334168191889028,0.21806261312133945,9533
0.3,0,cluster,ESM-2 650M frozen + linear probe,0.7320104036220018,0.5877731308182799,9533
0.3,1,cluster,1-NN (memorisation probe),0.2976472226089378,0.2576018471879341,9533
0.3,1,cluster,Logistic Regression,0.3285535291660866,0.18355346966895952,9533
0.3,1,cluster,Linear SVM,0.31310037588751216,0.22497822533106202,9533
0.3,1,cluster,ESM-2 650M frozen + linear probe,0.5955728804120841,0.5149220098227636,9533
0.3,2,cluster,1-NN (memorisation probe),0.3251679731243001,0.2717853899454331,9533
0.3,2,cluster,Logistic Regression,0.335946248600224,0.20966565653692681,9533
0.3,2,cluster,Linear SVM,0.3191489361702128,0.2311514711766729,9533
0.3,2,cluster,ESM-2 650M frozen + linear probe,0.6475363941769317,0.56480771849341,9533
0.3,3,cluster,1-NN (memorisation probe),0.29014084507042254,0.23024169779596546,9533
0.3,3,cluster,Logistic Regression,0.3497856705450092,0.21253421667058287,9533
0.3,3,cluster,Linear SVM,0.33998775260257197,0.24610382594648947,9533
0.3,3,cluster,ESM-2 650M frozen + linear probe,0.6591549295774648,0.5761346881661488,9533
0.3,4,cluster,1-NN (memorisation probe),0.4147917663954045,0.27809233323005705,9533
0.3,4,cluster,Logistic Regression,0.46014839636189564,0.2629758511906938,9533
