seed,split,cls,n_test
9,cluster,VIRAL PROTEIN,381
9,cluster_stratified,HYDROLASE,2496
9,cluster_stratified,IMMUNE SYSTEM,304
9,cluster_stratified,ISOMERASE,229
9,cluster_stratified,LYASE,432
9,cluster_stratified,OXIDOREDUCTASE,1317
9,cluster_stratified,SIGNALING PROTEIN,355
9,cluster_stratified,TRANSCRIPTION,354
9,cluster_stratified,TRANSFERASE,1566
9,cluster_stratified,TRANSPORT PROTEIN,318
9,cluster_stratified,VIRAL PROTEIN,382
